ingrId,ingrName
0,active dry yeast
1,allspice
2,almond extract
3,almonds
4,apple
5,applesauce
6,bacon
7,baking powder
8,baking soda
9,banana
10,basil
11,dried basil
12,black pepper
13,blueberries
14,bread flour
15,onion
16,brown sugar
17,butter
18,buttermilk
19,canola oil
20,carrot
21,cayenne pepper
22,celery
23,cheddar cheese
24,chicken
25,chicken breast
26,chicken broth
27,chili powder
28,cinnamon
29,cloves
30,cocoa powder
31,coconut
32,condensed milk
33,confectioners sugar
34,water
35,corn syrup
36,cornmeal
37,cornstarch
38,cranberries
39,cream cheese
40,cream of tartar
41,dijon mustard
42,oregano
43,lemon zest
44,egg
45,egg white
46,egg yolk
47,evaporated milk
48,flour
49,garlic
50,garlic powder
51,ginger
52,graham cracker crumbs
53,green bell pepper
54,green onion
55,ham
56,heavy cream
57,heavy whipping cream
58,honey
59,lemon
60,lemon juice
61,margarine
62,mayonnaise
63,zucchini
64,milk
65,molasses
66,mushrooms
67,nutmeg
68,oats
69,olive oil
70,onion powder
71,orange juice
72,paprika
73,parmesan cheese
74,parsley
75,pastry
76,peach
77,peanut butter
78,pecan
79,piecrust
80,pineapple
81,potato
82,pumpkin
83,pumpkin puree
84,raisins
85,rhubarb
86,salt
87,semisweet chocolate chips
88,shortening
89,sour cream
90,soy sauce
91,strawberries
92,sugar
93,sweet potato
94,tomato
95,vanilla extract
96,vegetable oil
97,walnut
98,wheat flour
99,white sugar
100,worcestershire sauce
101,yellow cake mix
